tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
imdb.com/title/tt0289765,7.2,268389,Red Dragon,Red Dragon,2002,124,"Crime,Drama,Thriller"
imdb.com/title/tt0120623,7.2,285418,A Bug's Life,A Bug's Life,1998,95,"Adventure,Animation,Comedy"
imdb.com/title/tt6334354,7.2,321035,The Suicide Squad,The Suicide Squad,2021,132,"Action,Adventure,Comedy"
imdb.com/title/tt1179933,7.2,315183,10 Cloverfield Lane,10 Cloverfield Lane,2016,103,"Action,Drama,Horror"
imdb.com/title/tt0116367,7.2,306549,From Dusk Till Dawn,From Dusk Till Dawn,1996,108,"Action,Crime,Horror"
imdb.com/title/tt0212720,7.2,303475,A.I. Artificial Intelligence,A.I. Artificial Intelligence,2001,146,"Drama,Sci-Fi"
imdb.com/title/tt0125439,7.2,301497,Notting Hill,Notting Hill,1999,124,"Comedy,Drama,Romance"
imdb.com/title/tt1638355,7.2,300131,The Man from U.N.C.L.E.,The Man from U.N.C.L.E.,2015,116,"Action,Adventure,Comedy"
imdb.com/title/tt0332379,7.2,298892,School of Rock,School of Rock,2003,109,"Comedy,Music"
imdb.com/title/tt0278504,7.2,290185,Insomnia,Insomnia,2002,118,"Drama,Mystery,Thriller"
imdb.com/title/tt0113189,7.2,253175,GoldenEye,GoldenEye,1995,130,"Action,Adventure,Thriller"
imdb.com/title/tt0448134,7.2,246314,Sunshine,Sunshine,2007,107,"Sci-Fi,Thriller"
imdb.com/title/tt0077631,7.2,262515,Grease,Grease,1978,110,"Comedy,Musical,Romance"
imdb.com/title/tt1192628,7.2,256472,Rango,Rango,2011,107,"Action,Adventure,Animation"
imdb.com/title/tt6264654,7.2,325967,Free Guy,Free Guy,2021,115,"Action,Adventure,Comedy"
imdb.com/title/tt11286314,7.2,484997,Don't Look Up,Don't Look Up,2021,138,"Comedy,Drama,Sci-Fi"
imdb.com/title/tt1800241,7.2,471383,American Hustle,American Hustle,2013,138,"Crime,Drama"
imdb.com/title/tt3183660,7.2,450137,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,2016,132,"Adventure,Family,Fantasy"
